role,favorites,voice_actors,character.mal_id,character.url,character.images.jpg.image_url,character.images.webp.image_url,character.images.webp.small_image_url,character.name
Main,29850,"[{'person': {'mal_id': 16, 'url': 'https://myanimelist.net/people/16/Noriaki_Sugiyama', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/73289.jpg?s=429ee25324e9906db1f67a4d2e675230'}}, 'name': 'Sugiyama, Noriaki'}, 'language': 'Japanese'}, {'person': {'mal_id': 20080, 'url': 'https://myanimelist.net/people/20080/Christophe_Hespel', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/84655.jpg?s=06aeb854ba41f8d629979b5d7e90e5f4'}}, 'name': 'Hespel, Christophe'}, 'language': 'French'}, {'person': {'mal_id': 7002, 'url': 'https://myanimelist.net/people/7002/Jannik_Endemann', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/40330.jpg?s=d85573a5a0181b34f6b7a4175e4fe38f'}}, 'name': 'Endemann, Jannik'}, 'language': 'German'}, {'person': {'mal_id': 225, 'url': 'https://myanimelist.net/people/225/Yuri_Lowenthal', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/39030.jpg?s=f0099087fc3f79903d24de2edceb778f'}}, 'name': 'Lowenthal, Yuri'}, 'language': 'English'}, {'person': {'mal_id': 7694, 'url': 'https://myanimelist.net/people/7694/Víctor_Ugarte', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/70314.jpg?s=5b9ebe16b909e4d093e57a1d158e8586'}}, 'name': 'Ugarte, Víctor'}, 'language': 'Spanish'}, {'person': {'mal_id': 5141, 'url': 'https://myanimelist.net/people/5141/Robson_Kumode', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/62395.jpg?s=ad00156ead74b7bbe740ceac875a59ba'}}, 'name': 'Kumode, Robson'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 48870, 'url': 'https://myanimelist.net/people/48870/Carles_Teruel', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/62447.jpg?s=3ccec3b6e679b85661e9f975a49f56c0'}}, 'name': 'Teruel, Carles'}, 'language': 'Spanish'}, {'person': {'mal_id': 1292, 'url': 'https://myanimelist.net/people/1292/Alessandro_Rigotti', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/1285.jpg?s=aa43f1d4eb495405f6a49ae9c4f5602b'}}, 'name': 'Rigotti, Alessandro'}, 'language': 'Italian'}, {'person': {'mal_id': 46321, 'url': 'https://myanimelist.net/people/46321/Zhen_Wang', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/86836.jpg?s=5020d5fd003ec9d013da19410e5997b5'}}, 'name': 'Wang, Zhen'}, 'language': 'Mandarin'}]",13,https://myanimelist.net/character/13/Sasuke_Uchiha,https://cdn.myanimelist.net/images/characters/9/131317.jpg?s=9705c17dba36c2edebded3a72dc1a46e,https://cdn.myanimelist.net/images/characters/9/131317.webp?s=9705c17dba36c2edebded3a72dc1a46e,https://cdn.myanimelist.net/images/characters/9/131317t.webp?s=9705c17dba36c2edebded3a72dc1a46e,"Uchiha, Sasuke"
Main,1237,"[{'person': {'mal_id': 1172, 'url': 'https://myanimelist.net/people/1172/Kokoro_Kikuchi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/71461.jpg?s=9f7ddec45957044fb47d45ada4ee4782'}}, 'name': 'Kikuchi, Kokoro'}, 'language': 'Japanese'}, {'person': {'mal_id': 7285, 'url': 'https://myanimelist.net/people/7285/Claire_Tefnin', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/72653.jpg?s=03aca8098a309073197e31425b0245f1'}}, 'name': 'Tefnin, Claire'}, 'language': 'French'}, {'person': {'mal_id': 43312, 'url': 'https://myanimelist.net/people/43312/Selina_Böttcher', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/47049.jpg?s=44ac0b42a0d2d5deb3d5a69b97707550'}}, 'name': 'Böttcher, Selina'}, 'language': 'German'}, {'person': {'mal_id': 1650, 'url': 'https://myanimelist.net/people/1650/Cherami_Leigh', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/47505.jpg?s=70a4eeaa04501d3a866693fb2f80e0fb'}}, 'name': 'Leigh, Cherami'}, 'language': 'English'}, {'person': {'mal_id': 57193, 'url': 'https://myanimelist.net/people/57193/Azucena_Valadez', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/68493.jpg?s=839748f2ad740c8a8a611023906f34fa'}}, 'name': 'Valadez, Azucena'}, 'language': 'Spanish'}, {'person': {'mal_id': 46375, 'url': 'https://myanimelist.net/people/46375/Luiza_Porto', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/77553.jpg?s=034a34ef89418c413bbc76755fa010ed'}}, 'name': 'Porto, Luiza'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 78985, 'url': 'https://myanimelist.net/people/78985/Henar_Hernández', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/82435.jpg?s=f844cca86fa4e26b6250361f5e2cd07c'}}, 'name': 'Hernández, Henar'}, 'language': 'Spanish'}, {'person': {'mal_id': 46525, 'url': 'https://myanimelist.net/people/46525/Giulia_Bersani', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/67699.jpg?s=02f151c2636d43d14f645a9daf72860b'}}, 'name': 'Bersani, Giulia'}, 'language': 'Italian'}, {'person': {'mal_id': 86359, 'url': 'https://myanimelist.net/people/86359/Hye-won_Jung', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/85812.jpg?s=9c2fd97447fe6ad9f3f472f7c5f5a331'}}, 'name': 'Jung, Hye-won'}, 'language': 'Korean'}, {'person': {'mal_id': 46318, 'url': 'https://myanimelist.net/people/46318/Xinzhu_Tong', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/49901.jpg?s=d120aa0f43fff0e2fa59af49ef7753ea'}}, 'name': 'Tong, Xinzhu'}, 'language': 'Mandarin'}]",117791,https://myanimelist.net/character/117791/Sarada_Uchiha,https://cdn.myanimelist.net/images/characters/5/292448.jpg?s=2325bf125a1bec74b888defa4c5bb02a,https://cdn.myanimelist.net/images/characters/5/292448.webp?s=2325bf125a1bec74b888defa4c5bb02a,https://cdn.myanimelist.net/images/characters/5/292448t.webp?s=2325bf125a1bec74b888defa4c5bb02a,"Uchiha, Sarada"
Main,86736,"[{'person': {'mal_id': 15, 'url': 'https://myanimelist.net/people/15/Junko_Takeuchi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/54677.jpg?s=f3db98147778a5843a3a4ea5fb5468ee'}}, 'name': 'Takeuchi, Junko'}, 'language': 'Japanese'}, {'person': {'mal_id': 1634, 'url': 'https://myanimelist.net/people/1634/Carole_Baillien', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/84294.jpg?s=34a04159842be07766e56805cc9c142a'}}, 'name': 'Baillien, Carole'}, 'language': 'French'}, {'person': {'mal_id': 40040, 'url': 'https://myanimelist.net/people/40040/Henning_Nöhren', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/40332.jpg?s=9002f046e6902daf9a803dfa64183f63'}}, 'name': 'Nöhren, Henning'}, 'language': 'German'}, {'person': {'mal_id': 609, 'url': 'https://myanimelist.net/people/609/Maile_Flanagan', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/39539.jpg?s=e7b2c6113301a12011d189fd49ef995c'}}, 'name': 'Flanagan, Maile'}, 'language': 'English'}, {'person': {'mal_id': 1686, 'url': 'https://myanimelist.net/people/1686/Isabel_Martiñón', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/73971.jpg?s=38acd9ef92a2e0f60c19e027b03b0ad0'}}, 'name': 'Martiñón, Isabel'}, 'language': 'Spanish'}, {'person': {'mal_id': 8241, 'url': 'https://myanimelist.net/people/8241/Úrsula_Bezerra', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/61222.jpg?s=56480c6e6283f5833eac72fa85e280f9'}}, 'name': 'Bezerra, Úrsula'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 45980, 'url': 'https://myanimelist.net/people/45980/David_Jenner', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/55877.jpg?s=ac6b7c2878966f693bd14222ca899015'}}, 'name': 'Jenner, David'}, 'language': 'Spanish'}, {'person': {'mal_id': 1290, 'url': 'https://myanimelist.net/people/1290/Leonardo_Graziano', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/1282.jpg?s=c9121f5e9146e6e91508ce71bea2ff39'}}, 'name': 'Graziano, Leonardo'}, 'language': 'Italian'}, {'person': {'mal_id': 46359, 'url': 'https://myanimelist.net/people/46359/Xin_Teng', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/49914.jpg?s=4021beb72f7c9bba2a0f263fe7a3fc40'}}, 'name': 'Teng, Xin'}, 'language': 'Mandarin'}, {'person': {'mal_id': 14777, 'url': 'https://myanimelist.net/people/14777/Sang_Hyeon_Eom', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/15323.jpg?s=362ac21fb441783652b524bce17ac5d7'}}, 'name': 'Eom, Sang Hyeon'}, 'language': 'Korean'}, {'person': {'mal_id': 47431, 'url': 'https://myanimelist.net/people/47431/Hosan_Lee', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/50667.jpg?s=1c64d4a67ac6d27469f8c22f6923d1e2'}}, 'name': 'Lee, Hosan'}, 'language': 'Korean'}]",17,https://myanimelist.net/character/17/Naruto_Uzumaki,https://cdn.myanimelist.net/images/characters/2/284121.jpg?s=3ebac88ad166bf105d8f04894f3fb469,https://cdn.myanimelist.net/images/characters/2/284121.webp?s=3ebac88ad166bf105d8f04894f3fb469,https://cdn.myanimelist.net/images/characters/2/284121t.webp?s=3ebac88ad166bf105d8f04894f3fb469,"Uzumaki, Naruto"
Main,2010,"[{'person': {'mal_id': 407, 'url': 'https://myanimelist.net/people/407/Yuuko_Sanpei', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/72329.jpg?s=cf6da3b4d63d37f9264226be3a348f8c'}}, 'name': 'Sanpei, Yuuko'}, 'language': 'Japanese'}, {'person': {'mal_id': 43313, 'url': 'https://myanimelist.net/people/43313/Daniel_Kirchberger', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/questionmark_23.gif?s=f7dcbc4a4603d18356d3dfef8abd655c'}}, 'name': 'Kirchberger, Daniel'}, 'language': 'German'}, {'person': {'mal_id': 13703, 'url': 'https://myanimelist.net/people/13703/Bennett_Abara', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/36809.jpg?s=ad3cf052505e0188a4f60a8cef53b54e'}}, 'name': 'Abara, Bennett'}, 'language': 'English'}, {'person': {'mal_id': 47452, 'url': 'https://myanimelist.net/people/47452/Youji_Wang', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/53783.jpg?s=ce3dfd0b96bcdd83be996b23917b54d6'}}, 'name': 'Wang, Youji'}, 'language': 'Mandarin'}, {'person': {'mal_id': 55440, 'url': 'https://myanimelist.net/people/55440/Fabienne_Loriaux', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/65430.jpg?s=e79ca6277116d2be64f94e36f35fa83b'}}, 'name': 'Loriaux, Fabienne'}, 'language': 'French'}, {'person': {'mal_id': 57182, 'url': 'https://myanimelist.net/people/57182/Karen_Vallejo', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/73467.jpg?s=02f71d26b4cc6513fff9f429a6ee4fef'}}, 'name': 'Vallejo, Karen'}, 'language': 'Spanish'}, {'person': {'mal_id': 46008, 'url': 'https://myanimelist.net/people/46008/Ma_Zink', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/75283.jpg?s=c0d6eb2cf256f863d329beb4b43ad502'}}, 'name': 'Zink, Ma'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 80419, 'url': 'https://myanimelist.net/people/80419/Iván_Priego_Posada', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/83070.jpg?s=9f90e73659a2e9fdc0e3c926552ee4ca'}}, 'name': 'Priego Posada, Iván'}, 'language': 'Spanish'}, {'person': {'mal_id': 56665, 'url': 'https://myanimelist.net/people/56665/Sebastiano_Tamburrini', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/questionmark_23.gif?s=f7dcbc4a4603d18356d3dfef8abd655c'}}, 'name': 'Tamburrini, Sebastiano'}, 'language': 'Italian'}]",117517,https://myanimelist.net/character/117517/Boruto_Uzumaki,https://cdn.myanimelist.net/images/characters/2/292447.jpg?s=2268c929ed1ef587e1bf253043b7c542,https://cdn.myanimelist.net/images/characters/2/292447.webp?s=2268c929ed1ef587e1bf253043b7c542,https://cdn.myanimelist.net/images/characters/2/292447t.webp?s=2268c929ed1ef587e1bf253043b7c542,"Uzumaki, Boruto"
Supporting,537,"[{'person': {'mal_id': 21401, 'url': 'https://myanimelist.net/people/21401/Alexandre_Crépet', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/71248.jpg?s=e7e3eb3f011298a0c655dc30f2a4e85a'}}, 'name': 'Crépet, Alexandre'}, 'language': 'French'}, {'person': {'mal_id': 29977, 'url': 'https://myanimelist.net/people/29977/Óscar_Flores', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/69909.jpg?s=961a81d9d01cfe155092dbc10bf35db4'}}, 'name': 'Flores, Óscar'}, 'language': 'Spanish'}, {'person': {'mal_id': 390, 'url': 'https://myanimelist.net/people/390/Derek_Stephen_Prince', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/41281.jpg?s=9cdd7f3211e68f90b3f2dfa9958585e1'}}, 'name': 'Prince, Derek Stephen'}, 'language': 'English'}]",3428,https://myanimelist.net/character/3428/Shino_Aburame,https://cdn.myanimelist.net/images/characters/16/292449.jpg?s=f7b8f2084a65d22cd9381f25a55f8b2f,https://cdn.myanimelist.net/images/characters/16/292449.webp?s=f7b8f2084a65d22cd9381f25a55f8b2f,https://cdn.myanimelist.net/images/characters/16/292449t.webp?s=f7b8f2084a65d22cd9381f25a55f8b2f,"Aburame, Shino"
Supporting,37,"[{'person': {'mal_id': 20094, 'url': 'https://myanimelist.net/people/20094/Bianca_Alencar', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/61646.jpg?s=9b3007dadcc945c9e5c870c56b581cfe'}}, 'name': 'Alencar, Bianca'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 264, 'url': 'https://myanimelist.net/people/264/Colleen_OShaughnessey', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/39297.jpg?s=3eb0d8112ad4c10e96ff439ea460ea41'}}, 'name': ""O'Shaughnessey, Colleen""}, 'language': 'English'}]",127964,https://myanimelist.net/character/127964/Chouchou_Akimichi,https://cdn.myanimelist.net/images/characters/3/297478.jpg?s=dde8553e8974bc9ce69ac5a82fd33447,https://cdn.myanimelist.net/images/characters/3/297478.webp?s=dde8553e8974bc9ce69ac5a82fd33447,https://cdn.myanimelist.net/images/characters/3/297478t.webp?s=dde8553e8974bc9ce69ac5a82fd33447,"Akimichi, Chouchou"
Supporting,7,"[{'person': {'mal_id': 344, 'url': 'https://myanimelist.net/people/344/Kouki_Miyata', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/74495.jpg?s=5a831e51e51c47f355ee89c1dc072b0d'}}, 'name': 'Miyata, Kouki'}, 'language': 'Japanese'}, {'person': {'mal_id': 1361, 'url': 'https://myanimelist.net/people/1361/Brian_Beacock', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/37035.jpg?s=8d20cb1dce639c5ae917f39d7f3baf55'}}, 'name': 'Beacock, Brian'}, 'language': 'English'}, {'person': {'mal_id': 27707, 'url': 'https://myanimelist.net/people/27707/Frédéric_Meaux', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/65523.jpg?s=a2b97cb123597f546f7ca22ab64ecd59'}}, 'name': 'Meaux, Frédéric'}, 'language': 'French'}, {'person': {'mal_id': 59288, 'url': 'https://myanimelist.net/people/59288/Ferso_Velázquez', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/73463.jpg?s=d24eb1dc3b4f15c090ac7d8db8e77273'}}, 'name': 'Velázquez, Ferso'}, 'language': 'Spanish'}, {'person': {'mal_id': 43619, 'url': 'https://myanimelist.net/people/43619/Marco_Aurélio_Campos', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/82001.jpg?s=c93c10dc313d13a77ae9a9a3f6b1074c'}}, 'name': 'Campos, Marco Aurélio'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 40042, 'url': 'https://myanimelist.net/people/40042/Jesse_Grimm', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/40334.jpg?s=fdd70b6b76ec34d362bfbefd9f9d4903'}}, 'name': 'Grimm, Jesse'}, 'language': 'German'}, {'person': {'mal_id': 25405, 'url': 'https://myanimelist.net/people/25405/Andrea_Oldani', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/86793.jpg?s=dc4d995944a059ab1757184c40ac4e59'}}, 'name': 'Oldani, Andrea'}, 'language': 'Italian'}, {'person': {'mal_id': 87362, 'url': 'https://myanimelist.net/people/87362/Dani_Oliver', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/questionmark_23.gif?s=f7dcbc4a4603d18356d3dfef8abd655c'}}, 'name': 'Oliver, Dani'}, 'language': 'Spanish'}, {'person': {'mal_id': 46374, 'url': 'https://myanimelist.net/people/46374/Yao_Li', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/49927.jpg?s=aedd0986782b05f2e74b5f932662d6be'}}, 'name': 'Li, Yao'}, 'language': 'Mandarin'}]",23418,https://myanimelist.net/character/23418/Choujuurou,https://cdn.myanimelist.net/images/characters/6/232239.jpg?s=365a287b1eff38c301511d94f6abd268,https://cdn.myanimelist.net/images/characters/6/232239.webp?s=365a287b1eff38c301511d94f6abd268,https://cdn.myanimelist.net/images/characters/6/232239t.webp?s=365a287b1eff38c301511d94f6abd268,Choujuurou
Supporting,103,"[{'person': {'mal_id': 12615, 'url': 'https://myanimelist.net/people/12615/Ryouta_Takeuchi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/58161.jpg?s=493931b7b174f6dc7777a6531337a1a3'}}, 'name': 'Takeuchi, Ryouta'}, 'language': 'Japanese'}, {'person': {'mal_id': 43305, 'url': 'https://myanimelist.net/people/43305/Tobias_Diakow', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/47060.jpg?s=522de8dfc8c1bf271cf19da85e1e9ae6'}}, 'name': 'Diakow, Tobias'}, 'language': 'German'}, {'person': {'mal_id': 52318, 'url': 'https://myanimelist.net/people/52318/Catero_Colbert', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/60544.jpg?s=e83c6b610aad53bc75d9803427e8b9e6'}}, 'name': 'Colbert, Catero'}, 'language': 'English'}, {'person': {'mal_id': 9909, 'url': 'https://myanimelist.net/people/9909/Sébastien_Hébrant', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/70017.jpg?s=3b5a8690f1ca8db30008056a871cb780'}}, 'name': 'Hébrant, Sébastien'}, 'language': 'French'}, {'person': {'mal_id': 57423, 'url': 'https://myanimelist.net/people/57423/Octavio_Rojas', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/68777.jpg?s=0f7d672758cb51dc465cbd95806e5596'}}, 'name': 'Rojas, Octavio'}, 'language': 'Spanish'}, {'person': {'mal_id': 43800, 'url': 'https://myanimelist.net/people/43800/Francisco_Júnior', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/75752.jpg?s=e8ea53371e7dfda0a2163edd6d9c6f86'}}, 'name': 'Júnior, Francisco'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 42917, 'url': 'https://myanimelist.net/people/42917/Diego_Baldoin', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/68699.jpg?s=5bc6ee59a918cdae44ba1c913915e274'}}, 'name': 'Baldoin, Diego'}, 'language': 'Italian'}]",23476,https://myanimelist.net/character/23476/Darui,https://cdn.myanimelist.net/images/characters/16/293381.jpg?s=c007249ae2da00233ee2b2bf561323a8,https://cdn.myanimelist.net/images/characters/16/293381.webp?s=c007249ae2da00233ee2b2bf561323a8,https://cdn.myanimelist.net/images/characters/16/293381t.webp?s=c007249ae2da00233ee2b2bf561323a8,Darui
Supporting,13397,"[{'person': {'mal_id': 17, 'url': 'https://myanimelist.net/people/17/Akira_Ishida', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/62624.jpg?s=e177139a222a21c2cd73e39e54187aef'}}, 'name': 'Ishida, Akira'}, 'language': 'Japanese'}, {'person': {'mal_id': 9937, 'url': 'https://myanimelist.net/people/9937/Tony_Beck', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/69248.jpg?s=2e64e94512071cc5b48ca400edd22eec'}}, 'name': 'Beck, Tony'}, 'language': 'French'}, {'person': {'mal_id': 23751, 'url': 'https://myanimelist.net/people/23751/Robert_Kotulla', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/26639.jpg?s=72b1f6a3e9d605f76b1ad87742937e20'}}, 'name': 'Kotulla, Robert'}, 'language': 'German'}, {'person': {'mal_id': 317, 'url': 'https://myanimelist.net/people/317/Liam_OBrien', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/41984.jpg?s=b0a3a298c63194407e1509b2dda73ef9'}}, 'name': ""O'Brien, Liam""}, 'language': 'English'}, {'person': {'mal_id': 7094, 'url': 'https://myanimelist.net/people/7094/Eduardo_Garza', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/68498.jpg?s=3de3b17beea5590b7f85969262cb0ed3'}}, 'name': 'Garza, Eduardo'}, 'language': 'Spanish'}, {'person': {'mal_id': 11521, 'url': 'https://myanimelist.net/people/11521/Yuri_Chesman', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/64740.jpg?s=93a317325d77ac84ee15cfb502b15b48'}}, 'name': 'Chesman, Yuri'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 78635, 'url': 'https://myanimelist.net/people/78635/Álvaro_Esteve', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/85508.jpg?s=2aaa30f0598e485fb56561f7fbaac548'}}, 'name': 'Esteve, Álvaro'}, 'language': 'Spanish'}, {'person': {'mal_id': 1267, 'url': 'https://myanimelist.net/people/1267/Luigi_Rosa', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/1263.jpg?s=fe422e26f09683bf7b55e4611d5f242d'}}, 'name': 'Rosa, Luigi'}, 'language': 'Italian'}, {'person': {'mal_id': 47539, 'url': 'https://myanimelist.net/people/47539/Xupeng_Cao', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/83305.jpg?s=527b82782403dea34c4c7e149936cf70'}}, 'name': 'Cao, Xupeng'}, 'language': 'Mandarin'}]",1662,https://myanimelist.net/character/1662/Gaara,https://cdn.myanimelist.net/images/characters/10/293375.jpg?s=ceeb8ed1578737104c8e347ab7a52101,https://cdn.myanimelist.net/images/characters/10/293375.webp?s=ceeb8ed1578737104c8e347ab7a52101,https://cdn.myanimelist.net/images/characters/10/293375t.webp?s=ceeb8ed1578737104c8e347ab7a52101,Gaara
Supporting,6,"[{'person': {'mal_id': 14213, 'url': 'https://myanimelist.net/people/14213/Matthew_Mercer', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/39513.jpg?s=7021f0f0da648285cee1549222163487'}}, 'name': 'Mercer, Matthew'}, 'language': 'English'}]",55293,https://myanimelist.net/character/55293/Gyuuki,https://cdn.myanimelist.net/images/characters/3/293374.jpg?s=bfb638d2d6e7ba4d897049e327e28abc,https://cdn.myanimelist.net/images/characters/3/293374.webp?s=bfb638d2d6e7ba4d897049e327e28abc,https://cdn.myanimelist.net/images/characters/3/293374t.webp?s=bfb638d2d6e7ba4d897049e327e28abc,Gyuuki
